longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
77.07915224258227,28.479707032136155,41.0,880.0,129.0,322.0,126.0,8.3252,45260000.0,NEAR METRO
76.99375689510555,28.40209199269523,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,35850000.0,SUBURBAN
77.04199454440447,28.405537788843986,52.0,1467.0,190.0,496.0,177.0,7.2574,35210000.0,COMMERCIAL HUB
77.07521496307957,28.403757853916762,52.0,1274.0,235.0,558.0,219.0,5.6431,34130000.0,SUBURBAN
77.04722078197514,28.43703176611422,52.0,1627.0,280.0,565.0,259.0,3.8462,34220000.0,URBAN CENTER
77.06817866703916,28.447324959546297,52.0,919.0,213.0,413.0,193.0,4.0368,26970000.0,COMMERCIAL HUB
77.07866835337786,28.48267565647205,52.0,2535.0,489.0,1094.0,514.0,3.6591,29920000.0,SUBURBAN
77.0601432848021,28.449338153688274,52.0,3104.0,687.0,1157.0,647.0,3.12,24140000.0,SUBURBAN
76.99051739883598,28.413759775081573,42.0,2555.0,665.0,1206.0,595.0,2.0804,22670000.0,SUBURBAN
77.01305142008462,28.498485685208642,52.0,3549.0,707.0,1551.0,714.0,3.6912,26110000.0,SUBURBAN
77.05964934899498,28.489246195465775,52.0,2202.0,434.0,910.0,402.0,3.2031,28150000.0,COMMERCIAL HUB
77.0795173828472,28.476911518697317,52.0,3503.0,752.0,1504.0,734.0,3.2705,24180000.0,URBAN CENTER
77.04791143989647,28.427108907711823,52.0,2491.0,474.0,1098.0,468.0,3.075,21350000.0,NEAR METRO
77.0428770000358,28.488163203264705,52.0,696.0,191.0,345.0,174.0,2.6736,19130000.0,COMMERCIAL HUB
77.00701770897774,28.40393343946062,52.0,2643.0,626.0,1212.0,620.0,1.9167,15920000.0,NEAR METRO
77.06787744029859,28.465198947197926,50.0,1120.0,283.0,697.0,264.0,2.125,14000000.0,URBAN CENTER
77.04149766287426,28.408258645839616,52.0,1966.0,347.0,793.0,331.0,2.775,15250000.0,NEAR METRO
77.04706281501981,28.465501689057344,52.0,1228.0,293.0,648.0,303.0,2.1202,15550000.0,URBAN CENTER
77.06175661651456,28.44815582741495,50.0,2239.0,455.0,990.0,419.0,1.9911,15870000.0,SUBURBAN
77.05082791346474,28.48347261298008,52.0,1503.0,298.0,690.0,275.0,2.6033,16290000.0,COMMERCIAL HUB
76.99823272091082,28.48184259842222,40.0,751.0,184.0,409.0,166.0,1.3578,14750000.0,SUBURBAN
77.07359896737324,28.4147475923983,42.0,1639.0,367.0,929.0,366.0,1.7135,15980000.0,NEAR METRO
77.06483733206039,28.48581957178536,52.0,2436.0,541.0,1015.0,478.0,1.725,11390000.0,SUBURBAN
77.01978478021714,28.46993271850279,52.0,1688.0,337.0,853.0,325.0,2.1806,9970000.0,NEAR METRO
77.02031732430225,28.47091199938402,52.0,2224.0,437.0,1006.0,422.0,2.6,13260000.0,URBAN CENTER
77.06657888254895,28.44777507823742,41.0,535.0,123.0,317.0,119.0,2.4038,10750000.0,URBAN CENTER
76.98159565639887,28.420081263289568,49.0,1130.0,244.0,607.0,239.0,2.4597,9380000.0,COMMERCIAL HUB
77.01930218411063,28.432281487084232,52.0,1898.0,421.0,1102.0,397.0,1.808,10550000.0,COMMERCIAL HUB
76.9914317677437,28.460331222560058,50.0,2082.0,492.0,1131.0,473.0,1.6424,10890000.0,SUBURBAN
77.03877359621337,28.43798085989271,52.0,729.0,160.0,395.0,155.0,1.6875,13200000.0,URBAN CENTER
77.07008200910774,28.47995893643344,49.0,1916.0,447.0,863.0,378.0,1.9274,12230000.0,COMMERCIAL HUB
77.01751918019751,28.404899893018175,52.0,2153.0,481.0,1168.0,441.0,1.9615,11520000.0,NEAR METRO
77.05040898152282,28.41585537443627,48.0,1922.0,409.0,1026.0,335.0,1.7969,11040000.0,SUBURBAN
77.03960379467856,28.42606594629801,49.0,1655.0,366.0,754.0,329.0,1.375,10490000.0,NEAR METRO
77.0385828184533,28.457184396128945,51.0,2665.0,574.0,1258.0,536.0,2.7303,10970000.0,URBAN CENTER
77.0099309000572,28.405775905388584,49.0,1215.0,282.0,570.0,264.0,1.4861,9720000.0,URBAN CENTER
77.06518692248274,28.480163267799917,48.0,1798.0,432.0,987.0,374.0,1.0972,10450000.0,URBAN CENTER
77.06801780928897,28.45206892921698,52.0,1511.0,390.0,901.0,403.0,1.4103,10390000.0,URBAN CENTER
76.98102224591149,28.47373015630199,52.0,1470.0,330.0,689.0,309.0,3.48,19140000.0,SUBURBAN
77.02046251067682,28.47291876987179,52.0,2432.0,715.0,1377.0,696.0,2.5898,17600000.0,URBAN CENTER
76.98156612877577,28.431986521184147,52.0,1665.0,419.0,946.0,395.0,2.0978,15540000.0,SUBURBAN
77.05718368216033,28.41909063248445,51.0,936.0,311.0,517.0,249.0,1.2852,15000000.0,SUBURBAN
76.99971731506548,28.46608070788305,49.0,713.0,202.0,462.0,189.0,1.025,11880000.0,URBAN CENTER
77.04222971473209,28.475999841623985,52.0,950.0,202.0,467.0,198.0,3.9643,18880000.0,NEAR METRO
77.03903628941492,28.484675427514016,52.0,1443.0,311.0,660.0,292.0,3.0125,18440000.0,COMMERCIAL HUB
77.05544912830176,28.454182454508103,52.0,1656.0,420.0,718.0,382.0,2.6768,18230000.0,SUBURBAN
77.05265047735341,28.48348593700198,50.0,1125.0,322.0,616.0,304.0,2.026,14250000.0,NEAR METRO
77.0432710986085,28.49986403607483,43.0,1007.0,312.0,558.0,253.0,1.7348,13750000.0,COMMERCIAL HUB
77.04562953279454,28.494163610239717,40.0,624.0,195.0,423.0,160.0,0.9506,18750000.0,URBAN CENTER
77.04444693876015,28.41512450717405,40.0,946.0,375.0,700.0,352.0,1.775,11250000.0,SUBURBAN
77.06606534611394,28.479185608338117,21.0,896.0,453.0,735.0,438.0,0.9218,17190000.0,NEAR METRO
77.0483037406075,28.41975343682273,43.0,1868.0,456.0,1061.0,407.0,1.5045,9380000.0,SUBURBAN
76.98303542862381,28.455474599935535,41.0,3221.0,853.0,1959.0,720.0,1.1108,9750000.0,NEAR METRO
77.06353140261504,28.4179715651414,52.0,1630.0,456.0,1162.0,400.0,1.2475,10420000.0,COMMERCIAL HUB
77.03542516354503,28.441734549347583,52.0,1170.0,235.0,701.0,233.0,1.6098,8750000.0,NEAR METRO
77.05835283377324,28.46703105543612,52.0,945.0,243.0,576.0,220.0,1.4113,8310000.0,SUBURBAN
76.99845079497031,28.43572150666876,52.0,1238.0,288.0,622.0,259.0,1.5057,8750000.0,NEAR METRO
77.06025135621317,28.470524359913522,52.0,1489.0,335.0,728.0,244.0,0.8172,8530000.0,COMMERCIAL HUB
77.07413085708238,28.424693062312233,52.0,1387.0,341.0,1074.0,304.0,1.2171,8030000.0,SUBURBAN
77.0649442124669,28.419477875810564,2.0,158.0,43.0,94.0,57.0,2.5625,6000000.0,NEAR METRO
77.07105709740934,28.485978776147615,52.0,1121.0,211.0,554.0,187.0,3.3929,7570000.0,SUBURBAN
77.04004467175689,28.429604821058106,49.0,135.0,29.0,86.0,23.0,6.1183,7500000.0,NEAR METRO
77.01139728450417,28.462333103500185,50.0,760.0,190.0,377.0,122.0,0.9011,8610000.0,SUBURBAN
